T,wbgt,Almas 2019,Seppanen 2006,Park 2017,Graph Zivin 2018,best estimate
27,23,0,4.21417,4.727272727,0.34,3.374827121
28,24,0,5.65376,5.909090909,0.68,4.331205152
29,25,0,7.21219,7.090909091,1.02,5.334543182
30,26,0,8.85208,8.272727273,1.36,6.366151212
31,27,NA,10.53605,9.454545455,1.7,7.407339242
32,28,NA,12.22672,10.63636364,2.04,8.439417273
33,29,NA,13.88671,13,2.38,9.640665
34,30,NA,15.47864,,2.72,9.09932
35,31,NA,16.96513,,3.06,10.012565
36,32,NA,NA,NA,3.4,NA
37,33,NA,NA,NA,NA,NA
38,34,NA,NA,NA,NA,NA
39,35,NA,NA,NA,NA,NA
40,36,NA,NA,NA,NA,NA
