

stn;time;tre200h0
BER;2018062100;17.3
BER;2018062101;16.4
BER;2018062102;16.4
BER;2018062103;16.2
BER;2018062104;16.0
BER;2018062105;16.3
BER;2018062106;18.6
BER;2018062107;21.7
BER;2018062108;23.2
BER;2018062109;24.3
BER;2018062110;25.6
BER;2018062111;26.4
BER;2018062112;26.8
BER;2018062113;27.1
BER;2018062114;26.7
BER;2018062115;26.4
BER;2018062116;25.3
BER;2018062117;24.5
BER;2018062118;23.4
BER;2018062119;22.2
BER;2018062120;20.6
BER;2018062121;19.5
BER;2018062122;18.5
BER;2018062123;17.6
BER;2018062200;16.8
BER;2018062201;15.2
BER;2018062202;14.3
BER;2018062203;13.3
BER;2018062204;12.1
BER;2018062205;11.5
BER;2018062206;11.5
BER;2018062207;12.5
BER;2018062208;14.1
BER;2018062209;14.9
BER;2018062210;16.2
BER;2018062211;17.1
BER;2018062212;18.1
BER;2018062213;18.9
BER;2018062214;18.9
BER;2018062215;18.8
BER;2018062216;18.5
BER;2018062217;18.1
BER;2018062218;17.2
BER;2018062219;15.9
BER;2018062220;13.8
BER;2018062221;12.6
BER;2018062222;12.1
BER;2018062223;11.3
BER;2018062300;10.3
BER;2018062301;10.1
BER;2018062302;8.3
BER;2018062303;8.0
BER;2018062304;7.0
BER;2018062305;7.3
BER;2018062306;10.8
BER;2018062307;12.8
BER;2018062308;14.4
BER;2018062309;15.7
BER;2018062310;17.0
BER;2018062311;17.9
BER;2018062312;18.8
BER;2018062313;19.6
BER;2018062314;20.1
BER;2018062315;20.3
BER;2018062316;20.4
BER;2018062317;19.9
BER;2018062318;18.8
BER;2018062319;17.1
BER;2018062320;15.4
BER;2018062321;14.0
BER;2018062322;11.5
BER;2018062323;10.3
BER;2018062400;11.2
BER;2018062401;12.9
BER;2018062402;12.1
BER;2018062403;10.7
BER;2018062404;10.7
BER;2018062405;11.1
BER;2018062406;12.0
BER;2018062407;13.2
BER;2018062408;14.4
BER;2018062409;15.9
BER;2018062410;17.9
BER;2018062411;18.8
BER;2018062412;19.5
BER;2018062413;19.1
BER;2018062414;19.9
BER;2018062415;20.6
BER;2018062416;20.0
BER;2018062417;20.1
BER;2018062418;19.5
BER;2018062419;17.5
BER;2018062420;16.0
BER;2018062421;15.2
BER;2018062422;14.4
BER;2018062423;13.7
BER;2018062500;13.8
BER;2018062501;12.7
BER;2018062502;12.2
BER;2018062503;11.6
BER;2018062504;11.6
BER;2018062505;11.7
BER;2018062506;13.6
BER;2018062507;14.9
BER;2018062508;17.1
BER;2018062509;18.3
BER;2018062510;19.0
BER;2018062511;19.6
BER;2018062512;20.1
BER;2018062513;20.6
BER;2018062514;20.9
BER;2018062515;21.3
BER;2018062516;21.2
BER;2018062517;20.9
BER;2018062518;20.2
BER;2018062519;19.2
BER;2018062520;16.9
BER;2018062521;15.4
BER;2018062522;12.7
BER;2018062523;12.1
BER;2018062600;11.2
BER;2018062601;10.7
BER;2018062602;10.8
BER;2018062603;10.2
BER;2018062604;9.0
BER;2018062605;9.8
BER;2018062606;13.2
BER;2018062607;15.4
BER;2018062608;17.6
BER;2018062609;19.7
BER;2018062610;21.0
BER;2018062611;21.9
BER;2018062612;23.0
BER;2018062613;23.5
BER;2018062614;24.0
BER;2018062615;24.1
BER;2018062616;24.0
BER;2018062617;23.7
BER;2018062618;22.8
BER;2018062619;21.2
BER;2018062620;19.4
BER;2018062621;17.6
BER;2018062622;15.8
BER;2018062623;15.6
BER;2018062700;15.2
BER;2018062701;14.4
BER;2018062702;13.8
BER;2018062703;13.3
BER;2018062704;12.4
BER;2018062705;13.1
BER;2018062706;15.0
BER;2018062707;16.8
BER;2018062708;18.5
BER;2018062709;20.2
BER;2018062710;20.9
BER;2018062711;22.2
BER;2018062712;22.9
BER;2018062713;23.8
BER;2018062714;24.2
BER;2018062715;24.4
BER;2018062716;24.2
BER;2018062717;23.7
